019fa57b-ab82-74d2-bd83-e49fab5b0000	2026-07-27 21:29:33.679733+00	2026-07-27 21:29:33.679733+00	AVAILABLE	\\xe9ca2c142e8e2b92f2ee122deaf3e71b5f3c9e47dea0ff7f352e0961be19ee2e	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A64r3Qw+XOFNZkKnxq3F1umgcVHZNpbAawsG2UY+7vwW", "0000000000000000000000000000000000000000000000000000000000000002": "A6Yxr0aMPKdR0LD5JGXv+bOGZNfSKHwJG8ZmRt8Owhz9", "0000000000000000000000000000000000000000000000000000000000000003": "A/ld++P01wje/CIbBJZTz/z4L+w9ym18CuGcEEbbtbj6"}	\\x020836218f03573e82d60a751895c64b1354c8e06d044ff87a690e80a71e093d11	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000b	2026-07-27 21:29:33.679736+00	2026-07-27 21:29:33.679736+00	AVAILABLE	\\x18e4e1ed7bf0ef9cbba7bbbc97cb5ddb92fb35d553598e21a0e07cf047ed7d0a	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AmCrbMD1CtXZSAQR8O+GN4F3lm98dNvYPiEs9/qMkVFc", "0000000000000000000000000000000000000000000000000000000000000002": "A0K9soAobzTwKR/Kq5hMtDzy5wwe4a/uQp5k9aWyrHL3", "0000000000000000000000000000000000000000000000000000000000000003": "A0GxZO4vdzuriXMgu4LcBU3XvEyGr/uqmEC/Tw4SQ/Tg"}	\\x023fa9b38bf3f768eac03f87fec9424c5fd509832207be1dca779cdbd58d149e22	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000c	2026-07-27 21:29:33.679736+00	2026-07-27 21:29:33.679736+00	AVAILABLE	\\xd1dc98e7878e1c5b04cb0b740b8aa5106f32b6e707cadddd22b324e034ece20f	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A0lpfmijoOw/qsJh0KB6I7qmYOSiTHNTAZlcm3BwkyFg", "0000000000000000000000000000000000000000000000000000000000000002": "A3pUYtbXQU5OkTaND+b1f3356dHhlCgaijvXD7Bh62NX", "0000000000000000000000000000000000000000000000000000000000000003": "A3Jzl+zlT81nUXoRMfh1jdWaKwv/gsddaNtWFHVIUYdK"}	\\x028e95b589125de819633e1c291d71caefe99ee57abc35b2677a828379f375563a	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000d	2026-07-27 21:29:33.679736+00	2026-07-27 21:29:33.679736+00	AVAILABLE	\\x1e38fd961e0ab581e7d1d3a47574c27abf124f3ff4231ce5d2e5c21992a7029a	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AoiEfjAaey99YwjVNKA3HBh1T1Ho8rHz1aDGJyf5Iu44", "0000000000000000000000000000000000000000000000000000000000000002": "Ayr3OhrQztSd1Fy0KA7D64H4ARvBXfylHqzlkvUdIa46", "0000000000000000000000000000000000000000000000000000000000000003": "A+eLllb0D4Dsd2eeypu37X6gJ5/1I9rnpXJKF5fpOpoy"}	\\x024cabbd63098e98ba9ab223356f854149149473767c6dc2f2ac402c7a8f0df5c0	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000e	2026-07-27 21:29:33.679736+00	2026-07-27 21:29:33.679736+00	AVAILABLE	\\xd6086d906fbe51f0b7d9c71e99827c201268575092093b61e5354bab3377e10b	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AiPUYezAd9Nik1e/Vsmli3q5g66NAC1S151/xOwBUGOe", "0000000000000000000000000000000000000000000000000000000000000002": "A54+ER2vee3WPbMtJqUJYpAdfRC6RmoB4NlJDZ0+ZErM", "0000000000000000000000000000000000000000000000000000000000000003": "AwgDClRo90rEGaYJ3YgDLky1rsElB/cqPC458L4D9qcM"}	\\x02a1f259effb49069199b8728638f3d5764f9e3691501439d194b01736baa95d7c	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000f	2026-07-27 21:29:33.679736+00	2026-07-27 21:29:33.679736+00	AVAILABLE	\\x3bb6d61102daae107d82f824d37ba0d2cb8c3b586d5b260e12a0babc13e3e8e7	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AsdH9iAy7TkPNO9rRIc4iwHNQDgSQcLYkV6ZHjsKTROq", "0000000000000000000000000000000000000000000000000000000000000002": "A2+cGloSh3/UsHlnqKOjuj0TTjTwvlxFS7QHZ93P8fKh", "0000000000000000000000000000000000000000000000000000000000000003": "Ap1GlWkNm9wTbFkSuR/DoB19SWjGwii0u/t+lWTHN4Z/"}	\\x0374c4e679ff936fa477bc89d25f91eb3ad1e8473cf0eaa6144afca7dbcb8684b4	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0010	2026-07-27 21:29:33.679737+00	2026-07-27 21:29:33.679737+00	AVAILABLE	\\xb2f1d5b557d8b51015a92aede2c3b65cb4302232219cae244dbbf32c56b64077	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "ArLAPSe0gwhWeTdFRtlIRp2d8QsIWqz/CpzxdStK3DzD", "0000000000000000000000000000000000000000000000000000000000000002": "A/FjSTehd1/Nt7oSq4gvVQEFqgBFiZfb0+2NBZiw13ub", "0000000000000000000000000000000000000000000000000000000000000003": "AqhWBC9j4jF5MOphXg+/+3LEKDxAkHGWqIycldJxoBE0"}	\\x02b61de1b595a021f33edc313887649e2c125ea586febcb913c268190b9f336337	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0011	2026-07-27 21:29:33.679737+00	2026-07-27 21:29:33.679737+00	AVAILABLE	\\x06881a501b4633a262484ee286b312da6e8138fd89f143c7d71a4d74edb26e47	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A+ZuVKwB7DcWjcYieG9lojYNp/HGS/2Rd0stP5L4pIKG", "0000000000000000000000000000000000000000000000000000000000000002": "An74xTAsvi02B4yJrbNYFu3ZrueDIWTQny8ssjzFbMkJ", "0000000000000000000000000000000000000000000000000000000000000003": "AnFeatD7jy43OWdwd2Wb9/iqJqrg+RaNA06zNOkU7nwi"}	\\x03ce3fcf1e774a3acda67c2283415a2821d0d56ed8d7ae26e3d24a7c753970e5c9	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0012	2026-07-27 21:29:33.679737+00	2026-07-27 21:29:33.679737+00	AVAILABLE	\\x2be87ba74cec01f1f066a341926968b6c58d8ced610eed9e11976cd1bb05cf09	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AgbFIZM3kBo1QrjBhK4WvMUjN4XKywIW0u34qMq4Bk7C", "0000000000000000000000000000000000000000000000000000000000000002": "Ap7JRE4MqWCZ2hWKdjH8tGiawV+duKnlnMKXJCjXVYZL", "0000000000000000000000000000000000000000000000000000000000000003": "A6/xrqrRgSRqD2KTSvLgiUEQndHu8hsxA2W13g9wwSYs"}	\\x02469dfae7325ab9dcf29a6becdcff8b3b05dc8835e25f743811419004e89ed02c	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0013	2026-07-27 21:29:33.679737+00	2026-07-27 21:29:33.679737+00	AVAILABLE	\\x0055593566e368771133429e8089fd09dc101aaf74dc0303048cb4c54825efd3	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A7tkKCXbYLYagv9opq9Iky7kZ7jch6oo8Ydxd22v/Dhl", "0000000000000000000000000000000000000000000000000000000000000002": "AsCQupaG6R1WbKMQMlJk5uSXNrvIabYGO1yxkUV1iE2W", "0000000000000000000000000000000000000000000000000000000000000003": "AkIzKCf5HK2QOlTkEfeemCsZJrWYdj5Mw8nBy8jXluTn"}	\\x02bdb586dc3f76a07715297d28c2b4cd30777b3665066f9965ea5c1b4eb8a11cab	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0014	2026-07-27 21:29:33.679737+00	2026-07-27 21:29:33.679737+00	AVAILABLE	\\x24b28c43d3dbd8c89de9b042817e656234bec0d128fdeb65202ddb3631268364	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "ArcUPgYe4dWF1PJ1i8vt75qgR2LX/6jH4VHX6i943c/Z", "0000000000000000000000000000000000000000000000000000000000000002": "AnDsWX6YUNZw8SNnU8gkhj/EsTv1B4CImEB7IukhfKXu", "0000000000000000000000000000000000000000000000000000000000000003": "AgMzsqb0j7VDveObcBS+R9uvV8B7u7JLp+IIRtG1z0dx"}	\\x03208a595eaed8d34a880287ba6f6ce2ffc45d9b578baf6fa0efb931cc403d86f4	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0015	2026-07-27 21:29:33.679738+00	2026-07-27 21:29:33.679738+00	AVAILABLE	\\x6e6390f5138773a04439b1ad3bad2918fb860683cf6d08344d23c7d9810150cc	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AiDocB8pyjrlIJQe48lvJUbCKt6waODi6RQO7tD9WnWc", "0000000000000000000000000000000000000000000000000000000000000002": "AgDtcRqnDqN8YI/NDRwAlDTonrvBM9xhGhznUHUPXPHc", "0000000000000000000000000000000000000000000000000000000000000003": "A8l1o7VqWvjVWW1X2p5qFfYpunG+Gkx3e+/YHSeDMpj+"}	\\x029a7e1e9a0ca38e13634070069e6a1e920df8b2a21955694f2a37b703291973bf	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0016	2026-07-27 21:29:33.679738+00	2026-07-27 21:29:33.679738+00	AVAILABLE	\\xaa0fd1bfb904f67690662a2785fe932daea00e5cb703995edf969fbf4144e3db	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A2QFXugw/pEGXHipSPTu1slYYwujCm+AWz8OdvnI2st8", "0000000000000000000000000000000000000000000000000000000000000002": "AgwG+15ULvr3tXYnl8ISNy7HMAZjpOYvbNc552I4j7Yd", "0000000000000000000000000000000000000000000000000000000000000003": "AzntfA2bXbdsiBIkxfUmw5USCvcSCiIM+VJQnP4f0bCP"}	\\x03fde195e71e925a3bb8f108e542d29b732a1ef86e45a71c47612ee1f720881c52	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0017	2026-07-27 21:29:33.679738+00	2026-07-27 21:29:33.679738+00	AVAILABLE	\\x3acebc92591a0d6ad162981ef04bc062b51f799e41f90d0e560925e41b36b29f	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A0If3RRqloQiCetbVTBSJ6sM7umqBYHxhPS3Rtf+Zmzy", "0000000000000000000000000000000000000000000000000000000000000002": "AudOfZPWhi5SEmxJ5CB0aXz+nPa5R4H7wQ63xWylYOj3", "0000000000000000000000000000000000000000000000000000000000000003": "A6o7wfqHKrac0+kBHplHyG1AFJ0ai9MqHdI7actKbIbf"}	\\x03498055616ee24c560a0dc7937b8d8abb71a48a6ef63419c41acb0f8cfa1ad28c	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0018	2026-07-27 21:29:33.679738+00	2026-07-27 21:29:33.679738+00	AVAILABLE	\\xf5a8a53c6adeb2760fa6b6fa7f5383968004d01e1dc15792cb0c8e98b4fd676a	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A4X121Vy59jCBjoq3FrMxy8Z4KHT5SbYudQOFB5N3b0n", "0000000000000000000000000000000000000000000000000000000000000002": "AnCyTzO8xQ6CGfNM5CCdzVl4PMRj+KFRdBTpA/bRbxyw", "0000000000000000000000000000000000000000000000000000000000000003": "AxDz8yquQMSdUmfUF9DpQt3IXQkgobeCLznfeQcdKMgL"}	\\x02fff129fd9a12b8a0bde5c9247563d3cd1ee487ac457ee0e5b4f6438ea3e841b4	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0019	2026-07-27 21:29:33.679738+00	2026-07-27 21:29:33.679738+00	AVAILABLE	\\xefda88a86be2bc328bc5960a587308d96d79c0cd4fb1a05cd09939654dc97dff	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "Ag7dvWFvezL3hTMC82nuiCxMdwY4ZWVp7WfsDB5GDXMX", "0000000000000000000000000000000000000000000000000000000000000002": "A2lOiovSaaIVpErVJXfQyobBWwyCQ3ULs1apFJVGuRAb", "0000000000000000000000000000000000000000000000000000000000000003": "AlVXR79yoUvLD2R6VJbGUuDL7q4m/fLFB95bL5B0jatc"}	\\x0304588c901f466cc9692ce60e16986b5ce100a2157cc87c619bf88da0747c0f88	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001a	2026-07-27 21:29:33.679739+00	2026-07-27 21:29:33.679739+00	AVAILABLE	\\x6cd69289bac21583da4a84b3090cec9f40413123c5d39aabcefcc4ada008f043	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AotXfHuwExO/foiJhRb1IGEghIWhHAoDRhhGJX/Lrrtj", "0000000000000000000000000000000000000000000000000000000000000002": "AiyO3PurrN5hr2FuSG8CwnUg9hgzA+oVWA9dZ4NTQ5l/", "0000000000000000000000000000000000000000000000000000000000000003": "AgpsfgM/rzzU5v5gWsDFFOH7KV5Tp89PDT6ABJlQtDy3"}	\\x0303ecda7020cb3f59502ed421509c6b2176a237e1d1843750a0759a63c3372f6f	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001b	2026-07-27 21:29:33.679739+00	2026-07-27 21:29:33.679739+00	AVAILABLE	\\x12c05c156e1370bdafb02239852cda31eaa764ad4dd88dd4aa59c30736928564	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A3+GlOZ1mnKNWEdZyl0dLIcOFZFaAVbzxef79wsg30sc", "0000000000000000000000000000000000000000000000000000000000000002": "A0Ml8BnVL286iunaVR7D1C+d+HCSWPt45gPrCJyExTfq", "0000000000000000000000000000000000000000000000000000000000000003": "A6yJX4yylvYFM78QLqt9P2mI5odNxyy6+s8TFqdTl1bN"}	\\x025ed61ab66aa689f885aa1cdb279649ddb124ce0f269f4fdb5551208cbebcf90e	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001c	2026-07-27 21:29:33.679739+00	2026-07-27 21:29:33.679739+00	AVAILABLE	\\x3e85a21bb2a651c2a7d8b5588c1301356f495d21145b96bd97f9b8b5a29f2ecd	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "ApZ4PPwsU+FNsPbVlcejO1PzUkD7mQIaT264ZLU0nULd", "0000000000000000000000000000000000000000000000000000000000000002": "A4+TqzlNPemZIRopPU+ACVlWR/jQWk1T+Zyc3AS3o3m9", "0000000000000000000000000000000000000000000000000000000000000003": "Az1x0MWHMXIzNc6GpGxBFIrk9k/q65HrXwa4iXmL/W44"}	\\x02e99f9f50ff7bcdf73a1ad3f723ead12069d3bc58f0f37759dad9ddea65266653	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001d	2026-07-27 21:29:33.679739+00	2026-07-27 21:29:33.679739+00	AVAILABLE	\\x0791e5b1df799920b20628f06201a1c762d38aaf2853769ac38c4af232e95895	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AylNnjHwYFQpECbczKAGWvOrlGqk2IEsWAwLUvO7zVeQ", "0000000000000000000000000000000000000000000000000000000000000002": "AmArY3p/2HUAxUIREAuW4hPCfGyDe5ZlbNahUnu9HssR", "0000000000000000000000000000000000000000000000000000000000000003": "A9GbhBtt5KEMrRaB6u+Dv/MJ+xGrChG/J1+Ki9fOfCDF"}	\\x02647cd963af166529bf2a0e2c3b93aced4f3931ab98778c4f08b1525d0c477aac	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001e	2026-07-27 21:29:33.679739+00	2026-07-27 21:29:33.679739+00	AVAILABLE	\\xd437cb1b18368e4436f267c29b75e31a6781d4a52c793ce8f5ce6920a576f5f5	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A3z2yRCuMC3jtTaV7ZzToor3ty9cTM6zhBNytstNqry2", "0000000000000000000000000000000000000000000000000000000000000002": "Ayv0B74OnAf0rk49TZs7sUR0JXge8e8M2YHx/9bLcepc", "0000000000000000000000000000000000000000000000000000000000000003": "Ag5waTc1gy0nwfkxasSW4sr6+TIW+GSkKrMNYxZ81NQT"}	\\x03c93cc038167f76e7712d61d3f678201e34b659a4fec28fd543eaa33e0c325501	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001f	2026-07-27 21:29:33.67974+00	2026-07-27 21:29:33.67974+00	AVAILABLE	\\xa9c36206ce5a8b36423b91104b1d803a10e6e44b4615028fbca56a81925ebaaf	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AvUH4hmj+Ke6tpA1uvkWNsEDpyc37EB3aX/Mxm1X1esY", "0000000000000000000000000000000000000000000000000000000000000002": "Awk3JBPkEh4E2VXUmadL1USWWWt5x2WLnGKUxQXS7jPe", "0000000000000000000000000000000000000000000000000000000000000003": "AhCrXH6qZH75x8tk8r+DnpJwWMaca2iMhX1VJM9c6rIG"}	\\x03ea966d28ce15e4ddc1b8684ee77857f94ea526ddef950654a4d30986b1a92f00	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0020	2026-07-27 21:29:33.67974+00	2026-07-27 21:29:33.67974+00	AVAILABLE	\\xf547332a672c337f5fcf7845b1f4d35852fed555851e8d5293987832532dcb75	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A1zqQ9fgTCksItJGJrY8ka54ht02zUKAsR5V2Y/H0Q3W", "0000000000000000000000000000000000000000000000000000000000000002": "ArJRQIud5/cOvRcK3udzyGhs75cml3RNDe2UANh1Dx+I", "0000000000000000000000000000000000000000000000000000000000000003": "AnBP5Ppjsh5hFx9v/8vx109D1+KAOD7CJCQsKVkdwA0r"}	\\x02b96bca79b3c5d95f4d7e7cdbef13ad0ac94a952ebedd0af32b26a3579337ba78	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0021	2026-07-27 21:29:33.679741+00	2026-07-27 21:29:33.679741+00	AVAILABLE	\\xff6ee3f12041953569055bbe6d2b1db3f74619614ffb3c70bdac5f4ce1ea9fba	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A1/Xumww+WnYVcttjI33lHfqCsjzts21lD5XeH/OYGET", "0000000000000000000000000000000000000000000000000000000000000002": "AiUsGbtCqxd3ryipGprKUXpYGjLRkskKRxBUWdDxBUfY", "0000000000000000000000000000000000000000000000000000000000000003": "A6LINGPd6przbsPwidMTIQzU/00TaOoSojyEIBCJX83L"}	\\x0301841f63d3f10e114f788b4710b558cd8216e52125c40755ff740b60c18a44a7	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0022	2026-07-27 21:29:33.679741+00	2026-07-27 21:29:33.679741+00	AVAILABLE	\\xe14f6c21fa2a8d6ab03dde27f5ec2178fa8bcd60e7fd92cf13afd22b535913c0	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A8MNHygfBKqoHxQkidNQEGJkyuyT/GZaeS//Nz31aVPq", "0000000000000000000000000000000000000000000000000000000000000002": "Al0TFNv+c3IXF69mrt1WzBnRtZoNcG6wW1GIXDXYmqDR", "0000000000000000000000000000000000000000000000000000000000000003": "A2CRkEPuedwAz8tGvBTRpxi/cje8aXi25Y7TVSyfCY5D"}	\\x02062b13aa5567cf4170787e262ed2b7d70a0cdb3bb08f48bc512c1b42bd91502a	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0023	2026-07-27 21:29:33.679741+00	2026-07-27 21:29:33.679741+00	AVAILABLE	\\x8c6576b9aedd9aa248067efddf6f56365e97053296476169dd924549f48b568b	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "Amvz79vcUJA6excDRBeDDcaDF2NRE2w9Rzr9sCxzfXJx", "0000000000000000000000000000000000000000000000000000000000000002": "AwbuLLVHXZ1UdmFYj4PAEPMYP5nEes6brobLBLqfqJNj", "0000000000000000000000000000000000000000000000000000000000000003": "AyS2sc0iZW+W/ApoZWWGDr/SZFoUtbYzv/bUsgCvaI7r"}	\\x02643d59dac93b6839cfae14e6736c309745b48e76abd149d5ca877c060d2b5bda	2	0
