019fa57b-ab82-74d2-bd83-e49fab5b0000	2026-07-27 21:29:33.677493+00	2026-07-27 21:29:33.677493+00	AVAILABLE	\\xb9bf12791bd72b1ee71dabf9cd33582dfecbb20f6936a7d28cf487082765bc32	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A64r3Qw+XOFNZkKnxq3F1umgcVHZNpbAawsG2UY+7vwW", "0000000000000000000000000000000000000000000000000000000000000002": "A6Yxr0aMPKdR0LD5JGXv+bOGZNfSKHwJG8ZmRt8Owhz9", "0000000000000000000000000000000000000000000000000000000000000003": "A/ld++P01wje/CIbBJZTz/z4L+w9ym18CuGcEEbbtbj6"}	\\x020836218f03573e82d60a751895c64b1354c8e06d044ff87a690e80a71e093d11	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000b	2026-07-27 21:29:33.677496+00	2026-07-27 21:29:33.677496+00	AVAILABLE	\\xccf348d8088314088af8294b8aa55d9fd613c0365706111d71672176dbddf53e	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AmCrbMD1CtXZSAQR8O+GN4F3lm98dNvYPiEs9/qMkVFc", "0000000000000000000000000000000000000000000000000000000000000002": "A0K9soAobzTwKR/Kq5hMtDzy5wwe4a/uQp5k9aWyrHL3", "0000000000000000000000000000000000000000000000000000000000000003": "A0GxZO4vdzuriXMgu4LcBU3XvEyGr/uqmEC/Tw4SQ/Tg"}	\\x023fa9b38bf3f768eac03f87fec9424c5fd509832207be1dca779cdbd58d149e22	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000c	2026-07-27 21:29:33.677496+00	2026-07-27 21:29:33.677496+00	AVAILABLE	\\x57bf2c7509394ed57cd7bf6e5b14fa8569bf004bd320acafc94b176dee062052	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A0lpfmijoOw/qsJh0KB6I7qmYOSiTHNTAZlcm3BwkyFg", "0000000000000000000000000000000000000000000000000000000000000002": "A3pUYtbXQU5OkTaND+b1f3356dHhlCgaijvXD7Bh62NX", "0000000000000000000000000000000000000000000000000000000000000003": "A3Jzl+zlT81nUXoRMfh1jdWaKwv/gsddaNtWFHVIUYdK"}	\\x028e95b589125de819633e1c291d71caefe99ee57abc35b2677a828379f375563a	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000d	2026-07-27 21:29:33.677497+00	2026-07-27 21:29:33.677497+00	AVAILABLE	\\x8267f91f6c9c4297ff1de093510c49f3b4183e2b1ba0fb14c00475ad6244db74	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AoiEfjAaey99YwjVNKA3HBh1T1Ho8rHz1aDGJyf5Iu44", "0000000000000000000000000000000000000000000000000000000000000002": "Ayr3OhrQztSd1Fy0KA7D64H4ARvBXfylHqzlkvUdIa46", "0000000000000000000000000000000000000000000000000000000000000003": "A+eLllb0D4Dsd2eeypu37X6gJ5/1I9rnpXJKF5fpOpoy"}	\\x024cabbd63098e98ba9ab223356f854149149473767c6dc2f2ac402c7a8f0df5c0	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000e	2026-07-27 21:29:33.677497+00	2026-07-27 21:29:33.677497+00	AVAILABLE	\\x430608707f247f8d130ac9ac2240560107456d671f0e2fb7a7e5e8f7b0c3184c	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AiPUYezAd9Nik1e/Vsmli3q5g66NAC1S151/xOwBUGOe", "0000000000000000000000000000000000000000000000000000000000000002": "A54+ER2vee3WPbMtJqUJYpAdfRC6RmoB4NlJDZ0+ZErM", "0000000000000000000000000000000000000000000000000000000000000003": "AwgDClRo90rEGaYJ3YgDLky1rsElB/cqPC458L4D9qcM"}	\\x02a1f259effb49069199b8728638f3d5764f9e3691501439d194b01736baa95d7c	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000f	2026-07-27 21:29:33.677497+00	2026-07-27 21:29:33.677497+00	AVAILABLE	\\xf545f6bcec26cfb9ea34d82bc15f244095599f42cf69f9a4ed4943b58ec663ec	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AsdH9iAy7TkPNO9rRIc4iwHNQDgSQcLYkV6ZHjsKTROq", "0000000000000000000000000000000000000000000000000000000000000002": "A2+cGloSh3/UsHlnqKOjuj0TTjTwvlxFS7QHZ93P8fKh", "0000000000000000000000000000000000000000000000000000000000000003": "Ap1GlWkNm9wTbFkSuR/DoB19SWjGwii0u/t+lWTHN4Z/"}	\\x0374c4e679ff936fa477bc89d25f91eb3ad1e8473cf0eaa6144afca7dbcb8684b4	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0010	2026-07-27 21:29:33.677497+00	2026-07-27 21:29:33.677497+00	AVAILABLE	\\x5072be9eccaaf078bd4789c5f9b81d6f0d3780c4cd5679da71206b70621d48bc	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "ArLAPSe0gwhWeTdFRtlIRp2d8QsIWqz/CpzxdStK3DzD", "0000000000000000000000000000000000000000000000000000000000000002": "A/FjSTehd1/Nt7oSq4gvVQEFqgBFiZfb0+2NBZiw13ub", "0000000000000000000000000000000000000000000000000000000000000003": "AqhWBC9j4jF5MOphXg+/+3LEKDxAkHGWqIycldJxoBE0"}	\\x02b61de1b595a021f33edc313887649e2c125ea586febcb913c268190b9f336337	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0011	2026-07-27 21:29:33.677498+00	2026-07-27 21:29:33.677498+00	AVAILABLE	\\x2e7d40faf42fb8fdc0da5658e19aebb9ca443a2ec15579dcf58e8e3c48b22c92	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A+ZuVKwB7DcWjcYieG9lojYNp/HGS/2Rd0stP5L4pIKG", "0000000000000000000000000000000000000000000000000000000000000002": "An74xTAsvi02B4yJrbNYFu3ZrueDIWTQny8ssjzFbMkJ", "0000000000000000000000000000000000000000000000000000000000000003": "AnFeatD7jy43OWdwd2Wb9/iqJqrg+RaNA06zNOkU7nwi"}	\\x03ce3fcf1e774a3acda67c2283415a2821d0d56ed8d7ae26e3d24a7c753970e5c9	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0012	2026-07-27 21:29:33.677498+00	2026-07-27 21:29:33.677498+00	AVAILABLE	\\xa3b77855b2ab841058efd20dbd0c4a97690f7b6985fb89fd49dd43254ec0cf1e	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AgbFIZM3kBo1QrjBhK4WvMUjN4XKywIW0u34qMq4Bk7C", "0000000000000000000000000000000000000000000000000000000000000002": "Ap7JRE4MqWCZ2hWKdjH8tGiawV+duKnlnMKXJCjXVYZL", "0000000000000000000000000000000000000000000000000000000000000003": "A6/xrqrRgSRqD2KTSvLgiUEQndHu8hsxA2W13g9wwSYs"}	\\x02469dfae7325ab9dcf29a6becdcff8b3b05dc8835e25f743811419004e89ed02c	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0013	2026-07-27 21:29:33.677498+00	2026-07-27 21:29:33.677498+00	AVAILABLE	\\xe3e6f2584c546bf26c65fe06ac79dc02740d491cb088a34bc07f19105e133113	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A7tkKCXbYLYagv9opq9Iky7kZ7jch6oo8Ydxd22v/Dhl", "0000000000000000000000000000000000000000000000000000000000000002": "AsCQupaG6R1WbKMQMlJk5uSXNrvIabYGO1yxkUV1iE2W", "0000000000000000000000000000000000000000000000000000000000000003": "AkIzKCf5HK2QOlTkEfeemCsZJrWYdj5Mw8nBy8jXluTn"}	\\x02bdb586dc3f76a07715297d28c2b4cd30777b3665066f9965ea5c1b4eb8a11cab	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0014	2026-07-27 21:29:33.677498+00	2026-07-27 21:29:33.677498+00	AVAILABLE	\\x80f5fc19335870c11cbab0cbba848058140cecaeb32b4a28dfe772f9c7434360	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "ArcUPgYe4dWF1PJ1i8vt75qgR2LX/6jH4VHX6i943c/Z", "0000000000000000000000000000000000000000000000000000000000000002": "AnDsWX6YUNZw8SNnU8gkhj/EsTv1B4CImEB7IukhfKXu", "0000000000000000000000000000000000000000000000000000000000000003": "AgMzsqb0j7VDveObcBS+R9uvV8B7u7JLp+IIRtG1z0dx"}	\\x03208a595eaed8d34a880287ba6f6ce2ffc45d9b578baf6fa0efb931cc403d86f4	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0015	2026-07-27 21:29:33.677498+00	2026-07-27 21:29:33.677498+00	AVAILABLE	\\xfd68c13142d9d16ed7b61820ad6e9fae34c041dd75e793104cf656183b809a86	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AiDocB8pyjrlIJQe48lvJUbCKt6waODi6RQO7tD9WnWc", "0000000000000000000000000000000000000000000000000000000000000002": "AgDtcRqnDqN8YI/NDRwAlDTonrvBM9xhGhznUHUPXPHc", "0000000000000000000000000000000000000000000000000000000000000003": "A8l1o7VqWvjVWW1X2p5qFfYpunG+Gkx3e+/YHSeDMpj+"}	\\x029a7e1e9a0ca38e13634070069e6a1e920df8b2a21955694f2a37b703291973bf	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0016	2026-07-27 21:29:33.677498+00	2026-07-27 21:29:33.677498+00	AVAILABLE	\\x078063695e84d44bdc963dabfd1be18226988357c3d7b7044b439cc27fbed031	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A2QFXugw/pEGXHipSPTu1slYYwujCm+AWz8OdvnI2st8", "0000000000000000000000000000000000000000000000000000000000000002": "AgwG+15ULvr3tXYnl8ISNy7HMAZjpOYvbNc552I4j7Yd", "0000000000000000000000000000000000000000000000000000000000000003": "AzntfA2bXbdsiBIkxfUmw5USCvcSCiIM+VJQnP4f0bCP"}	\\x03fde195e71e925a3bb8f108e542d29b732a1ef86e45a71c47612ee1f720881c52	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0017	2026-07-27 21:29:33.677498+00	2026-07-27 21:29:33.677498+00	AVAILABLE	\\xde168eca5c8ab09a60e1d393cc4ffc428de26927a118cae2bab74459d5865fde	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A0If3RRqloQiCetbVTBSJ6sM7umqBYHxhPS3Rtf+Zmzy", "0000000000000000000000000000000000000000000000000000000000000002": "AudOfZPWhi5SEmxJ5CB0aXz+nPa5R4H7wQ63xWylYOj3", "0000000000000000000000000000000000000000000000000000000000000003": "A6o7wfqHKrac0+kBHplHyG1AFJ0ai9MqHdI7actKbIbf"}	\\x03498055616ee24c560a0dc7937b8d8abb71a48a6ef63419c41acb0f8cfa1ad28c	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0018	2026-07-27 21:29:33.677499+00	2026-07-27 21:29:33.677499+00	AVAILABLE	\\xd30d2f6be2e60a931dd836a62a377688cdccb029e5f7f37624ec238d18083942	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A4X121Vy59jCBjoq3FrMxy8Z4KHT5SbYudQOFB5N3b0n", "0000000000000000000000000000000000000000000000000000000000000002": "AnCyTzO8xQ6CGfNM5CCdzVl4PMRj+KFRdBTpA/bRbxyw", "0000000000000000000000000000000000000000000000000000000000000003": "AxDz8yquQMSdUmfUF9DpQt3IXQkgobeCLznfeQcdKMgL"}	\\x02fff129fd9a12b8a0bde5c9247563d3cd1ee487ac457ee0e5b4f6438ea3e841b4	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0019	2026-07-27 21:29:33.677499+00	2026-07-27 21:29:33.677499+00	AVAILABLE	\\x28aa2458bdd3d8e4e9369e2f15ff7a272b03706f48f1503b41f10208a3a917af	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "Ag7dvWFvezL3hTMC82nuiCxMdwY4ZWVp7WfsDB5GDXMX", "0000000000000000000000000000000000000000000000000000000000000002": "A2lOiovSaaIVpErVJXfQyobBWwyCQ3ULs1apFJVGuRAb", "0000000000000000000000000000000000000000000000000000000000000003": "AlVXR79yoUvLD2R6VJbGUuDL7q4m/fLFB95bL5B0jatc"}	\\x0304588c901f466cc9692ce60e16986b5ce100a2157cc87c619bf88da0747c0f88	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001a	2026-07-27 21:29:33.677499+00	2026-07-27 21:29:33.677499+00	AVAILABLE	\\x65153cd110c1c226c050342390453995fffae4c622913b9fa71b0841e4d69b75	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AotXfHuwExO/foiJhRb1IGEghIWhHAoDRhhGJX/Lrrtj", "0000000000000000000000000000000000000000000000000000000000000002": "AiyO3PurrN5hr2FuSG8CwnUg9hgzA+oVWA9dZ4NTQ5l/", "0000000000000000000000000000000000000000000000000000000000000003": "AgpsfgM/rzzU5v5gWsDFFOH7KV5Tp89PDT6ABJlQtDy3"}	\\x0303ecda7020cb3f59502ed421509c6b2176a237e1d1843750a0759a63c3372f6f	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001b	2026-07-27 21:29:33.677499+00	2026-07-27 21:29:33.677499+00	AVAILABLE	\\x2c166593bec5d34d2301c80514bf4ad5c4706d97df3e7566c4886aac85a0162d	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A3+GlOZ1mnKNWEdZyl0dLIcOFZFaAVbzxef79wsg30sc", "0000000000000000000000000000000000000000000000000000000000000002": "A0Ml8BnVL286iunaVR7D1C+d+HCSWPt45gPrCJyExTfq", "0000000000000000000000000000000000000000000000000000000000000003": "A6yJX4yylvYFM78QLqt9P2mI5odNxyy6+s8TFqdTl1bN"}	\\x025ed61ab66aa689f885aa1cdb279649ddb124ce0f269f4fdb5551208cbebcf90e	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001c	2026-07-27 21:29:33.6775+00	2026-07-27 21:29:33.6775+00	AVAILABLE	\\xd0792f940b67c4e2e301a5decb159f2397eca9bc02e94b20a1e073aefe95b215	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "ApZ4PPwsU+FNsPbVlcejO1PzUkD7mQIaT264ZLU0nULd", "0000000000000000000000000000000000000000000000000000000000000002": "A4+TqzlNPemZIRopPU+ACVlWR/jQWk1T+Zyc3AS3o3m9", "0000000000000000000000000000000000000000000000000000000000000003": "Az1x0MWHMXIzNc6GpGxBFIrk9k/q65HrXwa4iXmL/W44"}	\\x02e99f9f50ff7bcdf73a1ad3f723ead12069d3bc58f0f37759dad9ddea65266653	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001d	2026-07-27 21:29:33.6775+00	2026-07-27 21:29:33.6775+00	AVAILABLE	\\x41114426b940738ac538ec370d43a6ea9e105e3d61efff803916b4d3c31b22ca	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AylNnjHwYFQpECbczKAGWvOrlGqk2IEsWAwLUvO7zVeQ", "0000000000000000000000000000000000000000000000000000000000000002": "AmArY3p/2HUAxUIREAuW4hPCfGyDe5ZlbNahUnu9HssR", "0000000000000000000000000000000000000000000000000000000000000003": "A9GbhBtt5KEMrRaB6u+Dv/MJ+xGrChG/J1+Ki9fOfCDF"}	\\x02647cd963af166529bf2a0e2c3b93aced4f3931ab98778c4f08b1525d0c477aac	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001e	2026-07-27 21:29:33.6775+00	2026-07-27 21:29:33.6775+00	AVAILABLE	\\x554bc900ea2d2288ed48d5a93c4ca5301e5ef94bb5aab1d58adc271d0328b476	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A3z2yRCuMC3jtTaV7ZzToor3ty9cTM6zhBNytstNqry2", "0000000000000000000000000000000000000000000000000000000000000002": "Ayv0B74OnAf0rk49TZs7sUR0JXge8e8M2YHx/9bLcepc", "0000000000000000000000000000000000000000000000000000000000000003": "Ag5waTc1gy0nwfkxasSW4sr6+TIW+GSkKrMNYxZ81NQT"}	\\x03c93cc038167f76e7712d61d3f678201e34b659a4fec28fd543eaa33e0c325501	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001f	2026-07-27 21:29:33.6775+00	2026-07-27 21:29:33.6775+00	AVAILABLE	\\x224a8b339aa7cf09c891341c2f8f0eec466909da2ccbe0a567b142efbc4ba54a	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AvUH4hmj+Ke6tpA1uvkWNsEDpyc37EB3aX/Mxm1X1esY", "0000000000000000000000000000000000000000000000000000000000000002": "Awk3JBPkEh4E2VXUmadL1USWWWt5x2WLnGKUxQXS7jPe", "0000000000000000000000000000000000000000000000000000000000000003": "AhCrXH6qZH75x8tk8r+DnpJwWMaca2iMhX1VJM9c6rIG"}	\\x03ea966d28ce15e4ddc1b8684ee77857f94ea526ddef950654a4d30986b1a92f00	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0020	2026-07-27 21:29:33.677501+00	2026-07-27 21:29:33.677501+00	AVAILABLE	\\x56885c9233250e08848d4432cee443df07aa330e94dfd7130b544ac005dd3fe5	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A1zqQ9fgTCksItJGJrY8ka54ht02zUKAsR5V2Y/H0Q3W", "0000000000000000000000000000000000000000000000000000000000000002": "ArJRQIud5/cOvRcK3udzyGhs75cml3RNDe2UANh1Dx+I", "0000000000000000000000000000000000000000000000000000000000000003": "AnBP5Ppjsh5hFx9v/8vx109D1+KAOD7CJCQsKVkdwA0r"}	\\x02b96bca79b3c5d95f4d7e7cdbef13ad0ac94a952ebedd0af32b26a3579337ba78	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0021	2026-07-27 21:29:33.677501+00	2026-07-27 21:29:33.677501+00	AVAILABLE	\\xe780c7cce725c990306db268eb97ce8cc6e52a74f130c7bcbae24f818a32ccfb	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A1/Xumww+WnYVcttjI33lHfqCsjzts21lD5XeH/OYGET", "0000000000000000000000000000000000000000000000000000000000000002": "AiUsGbtCqxd3ryipGprKUXpYGjLRkskKRxBUWdDxBUfY", "0000000000000000000000000000000000000000000000000000000000000003": "A6LINGPd6przbsPwidMTIQzU/00TaOoSojyEIBCJX83L"}	\\x0301841f63d3f10e114f788b4710b558cd8216e52125c40755ff740b60c18a44a7	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0022	2026-07-27 21:29:33.677501+00	2026-07-27 21:29:33.677501+00	AVAILABLE	\\x1258b84ed07085beeb25beb6e5cc7f216f68013b2d3d197489977d101841f0a9	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A8MNHygfBKqoHxQkidNQEGJkyuyT/GZaeS//Nz31aVPq", "0000000000000000000000000000000000000000000000000000000000000002": "Al0TFNv+c3IXF69mrt1WzBnRtZoNcG6wW1GIXDXYmqDR", "0000000000000000000000000000000000000000000000000000000000000003": "A2CRkEPuedwAz8tGvBTRpxi/cje8aXi25Y7TVSyfCY5D"}	\\x02062b13aa5567cf4170787e262ed2b7d70a0cdb3bb08f48bc512c1b42bd91502a	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0023	2026-07-27 21:29:33.677501+00	2026-07-27 21:29:33.677501+00	AVAILABLE	\\xd82a553152febd2756b87c6f9e02e248fc524855576dd2ec4c68784a562b4e2d	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "Amvz79vcUJA6excDRBeDDcaDF2NRE2w9Rzr9sCxzfXJx", "0000000000000000000000000000000000000000000000000000000000000002": "AwbuLLVHXZ1UdmFYj4PAEPMYP5nEes6brobLBLqfqJNj", "0000000000000000000000000000000000000000000000000000000000000003": "AyS2sc0iZW+W/ApoZWWGDr/SZFoUtbYzv/bUsgCvaI7r"}	\\x02643d59dac93b6839cfae14e6736c309745b48e76abd149d5ca877c060d2b5bda	2	0
