019fa57b-ab82-74d2-bd83-e49fab5b0000	2026-07-27 21:29:33.680288+00	2026-07-27 21:29:33.680288+00	AVAILABLE	\\x19d545af41452c06febe786208b4760a04fead99a4c2b6f01d952d2e8497dee9	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A64r3Qw+XOFNZkKnxq3F1umgcVHZNpbAawsG2UY+7vwW", "0000000000000000000000000000000000000000000000000000000000000002": "A6Yxr0aMPKdR0LD5JGXv+bOGZNfSKHwJG8ZmRt8Owhz9", "0000000000000000000000000000000000000000000000000000000000000003": "A/ld++P01wje/CIbBJZTz/z4L+w9ym18CuGcEEbbtbj6"}	\\x020836218f03573e82d60a751895c64b1354c8e06d044ff87a690e80a71e093d11	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000b	2026-07-27 21:29:33.68029+00	2026-07-27 21:29:33.680291+00	AVAILABLE	\\x64d67b02ef5ecb30ec574e2da4f15e160a91885afef5ab61902c36f684334617	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AmCrbMD1CtXZSAQR8O+GN4F3lm98dNvYPiEs9/qMkVFc", "0000000000000000000000000000000000000000000000000000000000000002": "A0K9soAobzTwKR/Kq5hMtDzy5wwe4a/uQp5k9aWyrHL3", "0000000000000000000000000000000000000000000000000000000000000003": "A0GxZO4vdzuriXMgu4LcBU3XvEyGr/uqmEC/Tw4SQ/Tg"}	\\x023fa9b38bf3f768eac03f87fec9424c5fd509832207be1dca779cdbd58d149e22	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000c	2026-07-27 21:29:33.680291+00	2026-07-27 21:29:33.680291+00	AVAILABLE	\\x4bfa055a05e2e9e08cbe5779bc004f9cb9f7909b8d2c6ecebc48d3c5ab9d628b	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A0lpfmijoOw/qsJh0KB6I7qmYOSiTHNTAZlcm3BwkyFg", "0000000000000000000000000000000000000000000000000000000000000002": "A3pUYtbXQU5OkTaND+b1f3356dHhlCgaijvXD7Bh62NX", "0000000000000000000000000000000000000000000000000000000000000003": "A3Jzl+zlT81nUXoRMfh1jdWaKwv/gsddaNtWFHVIUYdK"}	\\x028e95b589125de819633e1c291d71caefe99ee57abc35b2677a828379f375563a	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000d	2026-07-27 21:29:33.680291+00	2026-07-27 21:29:33.680291+00	AVAILABLE	\\xba0a020ccf79286bd085c6b599dd3b0084bb3d3b7beddef2a5996d12933f6b01	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AoiEfjAaey99YwjVNKA3HBh1T1Ho8rHz1aDGJyf5Iu44", "0000000000000000000000000000000000000000000000000000000000000002": "Ayr3OhrQztSd1Fy0KA7D64H4ARvBXfylHqzlkvUdIa46", "0000000000000000000000000000000000000000000000000000000000000003": "A+eLllb0D4Dsd2eeypu37X6gJ5/1I9rnpXJKF5fpOpoy"}	\\x024cabbd63098e98ba9ab223356f854149149473767c6dc2f2ac402c7a8f0df5c0	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000e	2026-07-27 21:29:33.680291+00	2026-07-27 21:29:33.680291+00	AVAILABLE	\\x690ad2b0605824545ca8c49110c4a24062dc645355bba6d062b24fd1e5f66889	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AiPUYezAd9Nik1e/Vsmli3q5g66NAC1S151/xOwBUGOe", "0000000000000000000000000000000000000000000000000000000000000002": "A54+ER2vee3WPbMtJqUJYpAdfRC6RmoB4NlJDZ0+ZErM", "0000000000000000000000000000000000000000000000000000000000000003": "AwgDClRo90rEGaYJ3YgDLky1rsElB/cqPC458L4D9qcM"}	\\x02a1f259effb49069199b8728638f3d5764f9e3691501439d194b01736baa95d7c	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000f	2026-07-27 21:29:33.680291+00	2026-07-27 21:29:33.680291+00	AVAILABLE	\\x8227b565198e8c6710d1181de5981d63bc6db454ba94f2b2f7ca904f6937af23	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AsdH9iAy7TkPNO9rRIc4iwHNQDgSQcLYkV6ZHjsKTROq", "0000000000000000000000000000000000000000000000000000000000000002": "A2+cGloSh3/UsHlnqKOjuj0TTjTwvlxFS7QHZ93P8fKh", "0000000000000000000000000000000000000000000000000000000000000003": "Ap1GlWkNm9wTbFkSuR/DoB19SWjGwii0u/t+lWTHN4Z/"}	\\x0374c4e679ff936fa477bc89d25f91eb3ad1e8473cf0eaa6144afca7dbcb8684b4	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0010	2026-07-27 21:29:33.680291+00	2026-07-27 21:29:33.680291+00	AVAILABLE	\\x1570eccbe30679a76e0acc15cbcf4f4ba079e6b8c69a42326a851c5b7b18f6f1	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "ArLAPSe0gwhWeTdFRtlIRp2d8QsIWqz/CpzxdStK3DzD", "0000000000000000000000000000000000000000000000000000000000000002": "A/FjSTehd1/Nt7oSq4gvVQEFqgBFiZfb0+2NBZiw13ub", "0000000000000000000000000000000000000000000000000000000000000003": "AqhWBC9j4jF5MOphXg+/+3LEKDxAkHGWqIycldJxoBE0"}	\\x02b61de1b595a021f33edc313887649e2c125ea586febcb913c268190b9f336337	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0011	2026-07-27 21:29:33.680292+00	2026-07-27 21:29:33.680292+00	AVAILABLE	\\xde92f3a5425cae4703b6476c2bcb39f9cd6d14b301d5adee78786b3a62e8f13d	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A+ZuVKwB7DcWjcYieG9lojYNp/HGS/2Rd0stP5L4pIKG", "0000000000000000000000000000000000000000000000000000000000000002": "An74xTAsvi02B4yJrbNYFu3ZrueDIWTQny8ssjzFbMkJ", "0000000000000000000000000000000000000000000000000000000000000003": "AnFeatD7jy43OWdwd2Wb9/iqJqrg+RaNA06zNOkU7nwi"}	\\x03ce3fcf1e774a3acda67c2283415a2821d0d56ed8d7ae26e3d24a7c753970e5c9	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0012	2026-07-27 21:29:33.680292+00	2026-07-27 21:29:33.680292+00	AVAILABLE	\\xb4197ef8e72c7fd387dd747567c686d4dcba7b57eb6af17a9923f50af7811035	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AgbFIZM3kBo1QrjBhK4WvMUjN4XKywIW0u34qMq4Bk7C", "0000000000000000000000000000000000000000000000000000000000000002": "Ap7JRE4MqWCZ2hWKdjH8tGiawV+duKnlnMKXJCjXVYZL", "0000000000000000000000000000000000000000000000000000000000000003": "A6/xrqrRgSRqD2KTSvLgiUEQndHu8hsxA2W13g9wwSYs"}	\\x02469dfae7325ab9dcf29a6becdcff8b3b05dc8835e25f743811419004e89ed02c	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0013	2026-07-27 21:29:33.680292+00	2026-07-27 21:29:33.680292+00	AVAILABLE	\\x1cc3c012817264fbb6008736549a1e0ffec1c928e87802f6086caf07026eefd4	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A7tkKCXbYLYagv9opq9Iky7kZ7jch6oo8Ydxd22v/Dhl", "0000000000000000000000000000000000000000000000000000000000000002": "AsCQupaG6R1WbKMQMlJk5uSXNrvIabYGO1yxkUV1iE2W", "0000000000000000000000000000000000000000000000000000000000000003": "AkIzKCf5HK2QOlTkEfeemCsZJrWYdj5Mw8nBy8jXluTn"}	\\x02bdb586dc3f76a07715297d28c2b4cd30777b3665066f9965ea5c1b4eb8a11cab	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0014	2026-07-27 21:29:33.680292+00	2026-07-27 21:29:33.680292+00	AVAILABLE	\\xc86f1c6e745f40d01f18afb948784a6b101f71da4e192cdd2046a1ff6b4004a9	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "ArcUPgYe4dWF1PJ1i8vt75qgR2LX/6jH4VHX6i943c/Z", "0000000000000000000000000000000000000000000000000000000000000002": "AnDsWX6YUNZw8SNnU8gkhj/EsTv1B4CImEB7IukhfKXu", "0000000000000000000000000000000000000000000000000000000000000003": "AgMzsqb0j7VDveObcBS+R9uvV8B7u7JLp+IIRtG1z0dx"}	\\x03208a595eaed8d34a880287ba6f6ce2ffc45d9b578baf6fa0efb931cc403d86f4	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0015	2026-07-27 21:29:33.680292+00	2026-07-27 21:29:33.680292+00	AVAILABLE	\\xdf5e60b8e43515d1b0bd4b39c9ebb2827cfaa810d83b1d940d23982796b84853	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AiDocB8pyjrlIJQe48lvJUbCKt6waODi6RQO7tD9WnWc", "0000000000000000000000000000000000000000000000000000000000000002": "AgDtcRqnDqN8YI/NDRwAlDTonrvBM9xhGhznUHUPXPHc", "0000000000000000000000000000000000000000000000000000000000000003": "A8l1o7VqWvjVWW1X2p5qFfYpunG+Gkx3e+/YHSeDMpj+"}	\\x029a7e1e9a0ca38e13634070069e6a1e920df8b2a21955694f2a37b703291973bf	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0016	2026-07-27 21:29:33.680292+00	2026-07-27 21:29:33.680293+00	AVAILABLE	\\x4c9f4016138518a1443616a30ee144da7bf8bc7afae6db7db417442f3294b644	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A2QFXugw/pEGXHipSPTu1slYYwujCm+AWz8OdvnI2st8", "0000000000000000000000000000000000000000000000000000000000000002": "AgwG+15ULvr3tXYnl8ISNy7HMAZjpOYvbNc552I4j7Yd", "0000000000000000000000000000000000000000000000000000000000000003": "AzntfA2bXbdsiBIkxfUmw5USCvcSCiIM+VJQnP4f0bCP"}	\\x03fde195e71e925a3bb8f108e542d29b732a1ef86e45a71c47612ee1f720881c52	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0017	2026-07-27 21:29:33.680293+00	2026-07-27 21:29:33.680293+00	AVAILABLE	\\x9786ea5a55a96a3b41e35caa14478481970b66fb9221ef75b12d65fb311d46a1	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A0If3RRqloQiCetbVTBSJ6sM7umqBYHxhPS3Rtf+Zmzy", "0000000000000000000000000000000000000000000000000000000000000002": "AudOfZPWhi5SEmxJ5CB0aXz+nPa5R4H7wQ63xWylYOj3", "0000000000000000000000000000000000000000000000000000000000000003": "A6o7wfqHKrac0+kBHplHyG1AFJ0ai9MqHdI7actKbIbf"}	\\x03498055616ee24c560a0dc7937b8d8abb71a48a6ef63419c41acb0f8cfa1ad28c	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0018	2026-07-27 21:29:33.680293+00	2026-07-27 21:29:33.680293+00	AVAILABLE	\\x18441b0cf2d75a590175374ed46f90a5778e132ba6421b73b15a9b1781bc5451	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A4X121Vy59jCBjoq3FrMxy8Z4KHT5SbYudQOFB5N3b0n", "0000000000000000000000000000000000000000000000000000000000000002": "AnCyTzO8xQ6CGfNM5CCdzVl4PMRj+KFRdBTpA/bRbxyw", "0000000000000000000000000000000000000000000000000000000000000003": "AxDz8yquQMSdUmfUF9DpQt3IXQkgobeCLznfeQcdKMgL"}	\\x02fff129fd9a12b8a0bde5c9247563d3cd1ee487ac457ee0e5b4f6438ea3e841b4	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0019	2026-07-27 21:29:33.680293+00	2026-07-27 21:29:33.680293+00	AVAILABLE	\\xb70aecf819f19f802e548de59ae6978cf5413444a72950429f6f123527b3a30e	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "Ag7dvWFvezL3hTMC82nuiCxMdwY4ZWVp7WfsDB5GDXMX", "0000000000000000000000000000000000000000000000000000000000000002": "A2lOiovSaaIVpErVJXfQyobBWwyCQ3ULs1apFJVGuRAb", "0000000000000000000000000000000000000000000000000000000000000003": "AlVXR79yoUvLD2R6VJbGUuDL7q4m/fLFB95bL5B0jatc"}	\\x0304588c901f466cc9692ce60e16986b5ce100a2157cc87c619bf88da0747c0f88	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001a	2026-07-27 21:29:33.680293+00	2026-07-27 21:29:33.680293+00	AVAILABLE	\\x7497e84264c268e0f444d54281d49fa880877d816915f9b7f6de81195b3b4511	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AotXfHuwExO/foiJhRb1IGEghIWhHAoDRhhGJX/Lrrtj", "0000000000000000000000000000000000000000000000000000000000000002": "AiyO3PurrN5hr2FuSG8CwnUg9hgzA+oVWA9dZ4NTQ5l/", "0000000000000000000000000000000000000000000000000000000000000003": "AgpsfgM/rzzU5v5gWsDFFOH7KV5Tp89PDT6ABJlQtDy3"}	\\x0303ecda7020cb3f59502ed421509c6b2176a237e1d1843750a0759a63c3372f6f	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001b	2026-07-27 21:29:33.680293+00	2026-07-27 21:29:33.680294+00	AVAILABLE	\\xf96a52971d610e2e3c5e7c6df59a698ccb8d38a96bbb467e4ffd79eeb7bb35dc	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A3+GlOZ1mnKNWEdZyl0dLIcOFZFaAVbzxef79wsg30sc", "0000000000000000000000000000000000000000000000000000000000000002": "A0Ml8BnVL286iunaVR7D1C+d+HCSWPt45gPrCJyExTfq", "0000000000000000000000000000000000000000000000000000000000000003": "A6yJX4yylvYFM78QLqt9P2mI5odNxyy6+s8TFqdTl1bN"}	\\x025ed61ab66aa689f885aa1cdb279649ddb124ce0f269f4fdb5551208cbebcf90e	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001c	2026-07-27 21:29:33.680294+00	2026-07-27 21:29:33.680294+00	AVAILABLE	\\xac9214a359e4dea26cafc4d24d1063460154ed6cd51682964de55c4916deecc6	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "ApZ4PPwsU+FNsPbVlcejO1PzUkD7mQIaT264ZLU0nULd", "0000000000000000000000000000000000000000000000000000000000000002": "A4+TqzlNPemZIRopPU+ACVlWR/jQWk1T+Zyc3AS3o3m9", "0000000000000000000000000000000000000000000000000000000000000003": "Az1x0MWHMXIzNc6GpGxBFIrk9k/q65HrXwa4iXmL/W44"}	\\x02e99f9f50ff7bcdf73a1ad3f723ead12069d3bc58f0f37759dad9ddea65266653	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001d	2026-07-27 21:29:33.680294+00	2026-07-27 21:29:33.680294+00	AVAILABLE	\\xce12873d05b2beb69ed365a9b6bf9ca2e24594079dff8df10dd43f9d72edcfa1	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AylNnjHwYFQpECbczKAGWvOrlGqk2IEsWAwLUvO7zVeQ", "0000000000000000000000000000000000000000000000000000000000000002": "AmArY3p/2HUAxUIREAuW4hPCfGyDe5ZlbNahUnu9HssR", "0000000000000000000000000000000000000000000000000000000000000003": "A9GbhBtt5KEMrRaB6u+Dv/MJ+xGrChG/J1+Ki9fOfCDF"}	\\x02647cd963af166529bf2a0e2c3b93aced4f3931ab98778c4f08b1525d0c477aac	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001e	2026-07-27 21:29:33.680295+00	2026-07-27 21:29:33.680295+00	AVAILABLE	\\x5323cd35463ff9ff809bf9dbfa9f2105f5f5d317f3ff27c0a0ee4c97778ef633	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A3z2yRCuMC3jtTaV7ZzToor3ty9cTM6zhBNytstNqry2", "0000000000000000000000000000000000000000000000000000000000000002": "Ayv0B74OnAf0rk49TZs7sUR0JXge8e8M2YHx/9bLcepc", "0000000000000000000000000000000000000000000000000000000000000003": "Ag5waTc1gy0nwfkxasSW4sr6+TIW+GSkKrMNYxZ81NQT"}	\\x03c93cc038167f76e7712d61d3f678201e34b659a4fec28fd543eaa33e0c325501	2	0
019fa57b-ab82-74d2-bd83-e49fab5b001f	2026-07-27 21:29:33.680295+00	2026-07-27 21:29:33.680295+00	AVAILABLE	\\x313c38da020d4762bbe5ee0466abf18920b5e1d5b015843e51c73386983b8ed3	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AvUH4hmj+Ke6tpA1uvkWNsEDpyc37EB3aX/Mxm1X1esY", "0000000000000000000000000000000000000000000000000000000000000002": "Awk3JBPkEh4E2VXUmadL1USWWWt5x2WLnGKUxQXS7jPe", "0000000000000000000000000000000000000000000000000000000000000003": "AhCrXH6qZH75x8tk8r+DnpJwWMaca2iMhX1VJM9c6rIG"}	\\x03ea966d28ce15e4ddc1b8684ee77857f94ea526ddef950654a4d30986b1a92f00	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0020	2026-07-27 21:29:33.680295+00	2026-07-27 21:29:33.680295+00	AVAILABLE	\\x940609c29b3358f63b11ac58950562d2e3a49ab5c614a3565c0a4717d04815c4	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A1zqQ9fgTCksItJGJrY8ka54ht02zUKAsR5V2Y/H0Q3W", "0000000000000000000000000000000000000000000000000000000000000002": "ArJRQIud5/cOvRcK3udzyGhs75cml3RNDe2UANh1Dx+I", "0000000000000000000000000000000000000000000000000000000000000003": "AnBP5Ppjsh5hFx9v/8vx109D1+KAOD7CJCQsKVkdwA0r"}	\\x02b96bca79b3c5d95f4d7e7cdbef13ad0ac94a952ebedd0af32b26a3579337ba78	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0021	2026-07-27 21:29:33.680295+00	2026-07-27 21:29:33.680295+00	AVAILABLE	\\x175d0015595d60daa19d0513eebe6cdc6cf82b66ff7d10e900a4108b696c3138	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A1/Xumww+WnYVcttjI33lHfqCsjzts21lD5XeH/OYGET", "0000000000000000000000000000000000000000000000000000000000000002": "AiUsGbtCqxd3ryipGprKUXpYGjLRkskKRxBUWdDxBUfY", "0000000000000000000000000000000000000000000000000000000000000003": "A6LINGPd6przbsPwidMTIQzU/00TaOoSojyEIBCJX83L"}	\\x0301841f63d3f10e114f788b4710b558cd8216e52125c40755ff740b60c18a44a7	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0022	2026-07-27 21:29:33.680296+00	2026-07-27 21:29:33.680296+00	AVAILABLE	\\xb0461ff523e495167555fd99060bc3d1cb00bc9ff3756bedddf5c8b9be39f596	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A8MNHygfBKqoHxQkidNQEGJkyuyT/GZaeS//Nz31aVPq", "0000000000000000000000000000000000000000000000000000000000000002": "Al0TFNv+c3IXF69mrt1WzBnRtZoNcG6wW1GIXDXYmqDR", "0000000000000000000000000000000000000000000000000000000000000003": "A2CRkEPuedwAz8tGvBTRpxi/cje8aXi25Y7TVSyfCY5D"}	\\x02062b13aa5567cf4170787e262ed2b7d70a0cdb3bb08f48bc512c1b42bd91502a	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0023	2026-07-27 21:29:33.680296+00	2026-07-27 21:29:33.680296+00	AVAILABLE	\\x40a098420abc781d3954818c20dbca23c0dbc20fd520efe76ebc124992eb5ee9	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "Amvz79vcUJA6excDRBeDDcaDF2NRE2w9Rzr9sCxzfXJx", "0000000000000000000000000000000000000000000000000000000000000002": "AwbuLLVHXZ1UdmFYj4PAEPMYP5nEes6brobLBLqfqJNj", "0000000000000000000000000000000000000000000000000000000000000003": "AyS2sc0iZW+W/ApoZWWGDr/SZFoUtbYzv/bUsgCvaI7r"}	\\x02643d59dac93b6839cfae14e6736c309745b48e76abd149d5ca877c060d2b5bda	2	0
